internal_id,string_external_id,abundance
6883427,b2774,0.089
6884310,b3738,13.7
6884095,b3513,18.2
6882772,b2057,0.328
6883305,b2628,0.967
6883336,b2674,2.5
6883490,b2840,7.38
6882846,b2141,0.065
6884777,b4265,6.13
6883746,b3137,1.11
6884097,b3515,0.511
6884374,b3822,0.594
6883045,b2349,1.26
6884530,b3999,54.6
6882308,b1557,26.5
6883104,b2419,0.803
6884286,b3714,2.14
6881243,b0400,5.5
6881294,b0451,76.3
6882731,b2015,0.626
6882471,b1730,0
6882752,b2037,0.28
6884685,b4166,0.014
6883423,b2768,0.025
6883786,b3179,26.6
6881726,b0926,1.96
6882402,b1657,7.07
6882735,b2019,233
6882432,b1689,1.19
6882083,b1305,105
6882103,b1326,21.6
6882934,b2234,240
6883522,b2882,0.072
6883256,b2571,85.8
6882140,b1372,0.751
6884340,b3780,137
6881959,b1176,42.7
6884970,b4551,14.4
6881361,b0525,755
6884800,b4298,1.78
6882336,b1591,7.78
6883270,b2585,243
6884714,b4195,1.9
6882933,b2233,0.08
6882337,b1592,0
6882130,b1353,2.27
6883590,b2957,47.6
6884943,b4512,2.39
6880972,b0093,2.85
6881038,b0161,397
6883921,b3328,0
6882805,b2094,1432
6881084,b0214,3.78
6882953,b2254,15.5
6883723,b3106,1.24
6883444,b2791,1.27
6881073,b0197,1138
6883063,b2371,0
6881700,b0900,0.003
6883168,b2483,0
6882892,b2187,165
6883839,b3233,387
6882747,b2032,24.4
6883098,b2413,22.1
6884346,b3787,4.84
6884564,b4037,198
6882149,b1381,2.28
6884632,b4109,0.596
6884137,b3557,0
6884897,b4406,94.5
6882713,b1993,9.99
6882225,b1466,0.925
6884241,b3663,1.58
6882013,b1233,14.4
6883919,b3326,0.016
6881934,b1144,0.01
6884437,b3894,13.2
6881299,b0457,0.424
6884326,b3754,0.032
6882073,b1295,65.0
6883214,b2529,793
6881792,b0993,0.76
6882511,b1770,10.9
6884935,b4487,47.6
6882818,b2107,165
6881004,b0127,44.3
6882648,b1913,5.76
6882124,b1347,1.13
6884927,b4478,0.147
6884091,b3509,733
6881156,b0303,0.512
6881488,b0674,140
6883354,b2699,355
6882641,b1902,1.98
6882991,b2292,0.069
6883715,b3098,1113
6883669,b3051,2.46
6881723,b0923,93.2
6883365,b2710,0.173
6884278,b3706,88.6
6883821,b3214,0.251
6881040,b0163,797
6881624,b0823,0.03
6880922,b0040,0.035
6882355,b1610,2.35
6881530,b0721,58.3
6883583,b2950,0.915
6883946,b3353,0.751
6881578,b0777,0.526
6882635,b1894,0.041
6881099,b0233,3.04
6883554,b2918,0.148
6881829,b1037,24.0
6882439,b1696,0.327
6884584,b4058,55.1
6883631,b3009,3.27
6881019,b0142,2.88
6881539,b0731,0.035
6882288,b1535,1.61
6881594,b0793,0.423
6884834,b4333,8.54
6883157,b2472,18.2
6882764,b2049,0.416
6882269,b1516,374
6881187,b0337,170
6884320,b3748,130
6881336,b0494,36.9
6881208,b0358,0.018
6883932,b3339,9789
6884535,b4004,0.423
6882579,b1838,0
6882468,b1727,108
6883977,b3386,545
6882010,b1227,0.773
6883398,b2743,21.2
6883945,b3352,10.9
6882989,b2290,46.6
6882690,b1960,0.992
6881378,b0546,0.576
6884501,b3961,69.7
6884488,b3947,0.876
6882495,b1754,2.3
6881461,b0636,16.3
6881509,b0697,0.799
6882612,b1871,7.25
6884849,b4353,0.008
6882943,b2244,0
6881119,b0259,0.26
6881852,b1061,10.2
6881773,b0974,2.32
6884200,b3621,1.15
6884707,b4188,2.22
6880945,b0065,0
6881789,b0990,27.0
6881295,b0452,71.0
